"cell_value","pixel_count","crop_code","crop_name"
1,2449952,265,"Grasland, blijvend"
2,718777,266,"Grasland, tijdelijk"
3,95914,236,"Gerst, zomer-"
4,653097,259,"Mais, snij-"
5,2177,2789,"Witte kool, productie"
6,148121,2785,"Winterpeen, productie"
7,2709,1068,"Buxus, open grond,"
8,374598,262,"Uien, zaai-"
9,674397,2015,"Aardappelen, poot NAK"
10,9262,257,"Bieten, voeder-"
11,1165,1936,"Bos, blijvend, met herplantplicht"
12,86740,331,"Grasland, natuurlijk. Hoofdfunctie landbouw."
13,6581,238,"Haver"
14,405329,256,"Bieten, suiker-"
15,2315,863,"Bos zonder herplantplicht"
16,2270,314,"Triticale"
17,64733,234,"Tarwe, zomer-"
18,5022,2735,"Pompoen, productie"
19,1040,1067,"Bos- en haagplanten, open grond,"
20,2834,3736,"Vlas, vezel-"
21,362033,233,"Tarwe, winter-"
22,28693,332,"Grasland, natuurlijk. Hoofdfunctie natuur."
23,336067,2014,"Aardappelen, consumptie"
24,13525,2797,"Bloemkool, zomer, productie"
25,1780,427,"Overige groenbemesters, niet-vlinderbloemige-"
26,7725,998,"Gladiool, bloembollen en - knollen"
27,214713,336,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt"
28,1214,3802,"Tijdelijk onbeteelde grond, anders dan voor publieke werken"
29,195588,1004,"Tulp, bloembollen en -knollen"
30,8420,235,"Gerst, winter-"
31,23654,1098,"Peren. Aangeplant voorafgaande aan lopende seizoen."
32,5410,2016,"Aardappelen, poot TBM"
33,9848,237,"Rogge (geen snijrogge)"
34,45105,2017,"Aardappelen, zetmeel"
35,3300,2741,"Kroten/rode bieten, productie"
36,2977,316,"Mais, korrel-"
37,1092,1074,"Sierconiferen, open grond,"
38,2381,2737,"Koolraap, productie"
39,5309,3504,"Bladrammenas"
40,2707,372,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijdelijk gras"
41,42121,258,"Luzerne"
42,27135,263,"Uien, zilver-"
43,35227,1931,"Uien, poot- en plant- (incl. sjalotten)"
44,24402,1096,"Appelen. Aangeplant voorafgaande aan lopende seizoen."
45,1545,1025,"Pioenroos, overige bloemkwekerijgewassen"
46,1196,1922,"Koolzaad, winter (incl. boterzaad)"
47,5198,2725,"Knolselderij, productie"
48,39984,335,"Natuurterreinen (incl. heide)"
49,6741,1023,"Pastinaak, productie"
50,2669,317,"Mais, corncob mix"
51,1032,346,"Tagetes erecta (Afrikaantje)"
52,1070,799,"Klaver, rode"
53,11726,2025,"Aardappelen, bestrijdingsmaatregel AM"
54,1953,2783,"Waspeen, productie"
55,17720,383,"Graszaad"
56,1736,944,"Hennep, vezel-"
57,1298,347,"Tagetes patula (Afrikaantje)"
58,174972,2787,"Witlofwortel, productie"
59,2123,814,"Mais, suiker-"
60,1313,2759,"Rodekool, productie"
61,9947,244,"Erwten, groene/gele (groen te oogsten)"
62,5593,2700,"Aardbeien open grond, vermeerdering"
63,1123,3506,"Engels raaigras"
64,5551,2779,"Stamsperziebonen (=stamslabonen), productie"
65,1773,3804,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: onbeheerd)"
66,2729,999,"Hyacint, bloembollen en - knollen"
67,3286,1077,"Vruchtbomen, moerbomen, open grond,"
68,1250,2774,"Spinazie, zaden en opkweekmateriaal"
69,60618,1002,"Lelie, bloembollen en -knollen"
70,3883,1036,"Wortelpeterselie"
71,1063,1001,"Krokus, bloembollen en - knollen"
72,12351,2773,"Spinazie, productie"
73,1075,665,"Sojabonen"
74,3938,1078,"Vruchtbomen, onderstammen, open grond,"
75,2751,1923,"Koolzaad, zomer (incl. boterzaad)"
76,1973,2736,"Pompoen, zaden en opkweekmateriaal"
